1,Ricardo Díaz Virgen,1,administrador/1,1,administrador/,11/04/2014 17:57
2,2,2,clientes/2,1,clientes/,11/04/2014 20:53
3,Autorizaciones para transporte,1,administrador/1/Autorizaciones para transporte,1,administrador/1,11/04/2014 20:54
4,Autorizaciones para transporte,2,clientes/2/Autorizaciones para transporte,1,clientes/2,11/04/2014 21:31
5,Ford 2004 F-350,2,clientes/2/Autorizaciones para transporte/Ford 2004 F-350,1,clientes/2/Autorizaciones para transporte,11/04/2014 21:39
6,Nissan Estacas 2013,2,clientes/2/Autorizaciones para transporte/Nissan Estacas 2013,1,clientes/2/Autorizaciones para transporte,11/04/2014 21:40
7,Nissan Estacas 2013,1,administrador/1/Autorizaciones para transporte/Nissan Estacas 2013,1,administrador/1/Autorizaciones para transporte,11/04/2014 21:44
8,Ford 2004 F-350,1,administrador/1/Autorizaciones para transporte/Ford 2004 F-350,1,administrador/1/Autorizaciones para transporte,11/04/2014 21:48
14,3,3,clientes/3,1,clientes/,14/04/2014 23:52
15,LAU,3,clientes/3/LAU,1,clientes/3,14/04/2014 23:59
16,Evidencias de cumplimiento 2013,3,clientes/3/LAU/Evidencias de cumplimiento 2013,1,clientes/3/LAU,15/04/2014 00:00
17,Evidencias de cumplimiento 2014,3,clientes/3/LAU/Evidencias de cumplimiento 2014,1,clientes/3/LAU,15/04/2014 00:00
18,Evidencias de cumplimiento 2012,3,clientes/3/LAU/Evidencias de cumplimiento 2012,1,clientes/3/LAU,15/04/2014 00:00
19,Autorización en MIA,3,clientes/3/Autorización en MIA,1,clientes/3,15/04/2014 00:05
20,MIA Evidencias de cumplimiento 2014,3,clientes/3/Autorización en MIA/MIA Evidencias de cumplimiento 2014,1,clientes/3/Autorización en MIA,15/04/2014 00:06
21,MIA Evidencias de cumplimiento 2013,3,clientes/3/Autorización en MIA/MIA Evidencias de cumplimiento 2013,1,clientes/3/Autorización en MIA,15/04/2014 00:06
23,4,4,clientes/4,1,clientes/,15/04/2014 16:48
32,5,5,clientes/5,1,clientes/,16/04/2014 16:31
33,Año 2014,5,clientes/5/Año 2014,1,clientes/5,16/04/2014 16:34
34,Año 2013,5,clientes/5/Año 2013,1,clientes/5,16/04/2014 16:35
35,COA_2012,5,clientes/5/Año 2013/COA_2012,1,clientes/5/Año 2013,16/04/2014 16:37
36,COA_2013,5,clientes/5/Año 2014/COA_2013,1,clientes/5/Año 2014,16/04/2014 16:40
37,6,6,clientes/6,1,clientes/,16/04/2014 17:07
38,Documentos oficiales,3,clientes/3/Documentos oficiales,1,clientes/3,16/04/2014 17:45
41,En Materia de Residuos Peligrosos,3,clientes/3/En Materia de Residuos Peligrosos,1,clientes/3,17/04/2014 20:51
42,Manifiestos por RP´s,3,clientes/3/En Materia de Residuos Peligrosos/Manifiestos por RP´s,1,clientes/3/En Materia de Residuos Peligrosos,17/04/2014 20:55
43,7,7,clientes/7,1,clientes/,17/04/2014 21:05
44,En Materia de Residuos Peligrosos,5,clientes/5/En Materia de Residuos Peligrosos,1,clientes/5,17/04/2014 21:08
45,Primera,4,clientes/4/Primera,1,clientes/4,19/04/2014 15:22
46,Segunda,4,clientes/4/Segunda,1,clientes/4,19/04/2014 15:22
48,yaran,4,clientes/4/Primera/yaran,1,clientes/4/Primera,19/04/2014 19:43
49,ramos,4,clientes/4/Primera/ramos,1,clientes/4/Primera,19/04/2014 19:43
50,vazquez,4,clientes/4/Primera/vazquez,1,clientes/4/Primera,19/04/2014 19:43
51,jonathan,4,clientes/4/Primera/yaran/jonathan,1,clientes/4/Primera/yaran,19/04/2014 21:09
53,Tercera,4,clientes/4/Tercera,1,clientes/4,20/04/2014 15:50
54,Cuarta,4,clientes/4/Cuarta,1,clientes/4,20/04/2014 15:50
55,8,8,clientes/8,1,clientes/,21/04/2014 20:50
56,COA_2013 ,8,clientes/8/COA_2013 ,1,clientes/8,21/04/2014 20:50
57,9,9,clientes/9,1,clientes/,21/04/2014 21:03
58,10,10,clientes/10,1,clientes/,24/04/2014 13:10
59,Patio Manzanillo,10,clientes/10/Patio Manzanillo,1,clientes/10,24/04/2014 13:11
60,Patio Lázaro Cárdenas,10,clientes/10/Patio Lázaro Cárdenas,1,clientes/10,24/04/2014 13:11
61,Documentos oficiales,10,clientes/10/Documentos oficiales,1,clientes/10,24/04/2014 13:12
62,Autorizaciones,10,clientes/10/Patio Manzanillo/Autorizaciones,1,clientes/10/Patio Manzanillo,24/04/2014 13:15
63,11,11,clientes/11,1,clientes/,24/04/2014 13:20
64,LAU: Evidencias de cumplimiento 2014,10,clientes/10/Patio Manzanillo/LAU: Evidencias de cumplimiento 2014,1,clientes/10/Patio Manzanillo,24/04/2014 13:41
