1,Lámparas fluorescentes y de vapor de mercurio,RPM/06,200,Kg,Toxico ,Mantenimiento,07/04/2014,11/04/2014,Coprocesamiento,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (destino final),Ricardo Díaz,1,08/10/2014 23:38,06-10-PS-I-01-2011,6-IV-34-09,2014-2
2,Diesel contaminado,O,24,Kg,Toxico Inflamable ,Mantenimiento,01/04/2014,11/04/2014,Formulación de combustibles alternos,Ecoltec S.A. de C.V.,Ecoltec S.A. de C.V. (acopio),Ricardo Díaz,1,12/04/2014 02:08,21-015-PS-I-02-07,06-09-ll-01-2011,2014-3
3,Aceites lubricantes usados,RPM/01,22,Kg,Toxico Inflamable ,Mantenimiento,11/04/2014,16/04/2014,Confinamiento controlado,Ecoltec S.A de C.V.,EK AMBIENTAL,ramón,1,12/04/2014 21:43,06-10-PS-I-01-2011,ccmcmc,24
4,Diesel contaminado,O,11,Kg,Toxico Inflamable ,Mantenimiento,09/04/2014,16/04/2014,Coprocesamiento,Ecoltec S.A de C.V.,Ricardo Díaz Virgen,Ricardo Díaz,1,16/04/2014 20:06,06-10-PS-I-01-2011,06-09-ll-01-2011,34
7,Aceites lubricantes usados,RPM/01,100,Kg,Toxico Inflamable ,Mantenimiento,17/04/2014,0000-00-00,,,,,1,18/04/2014 02:15,,,
8,Sólidos de mantenimiento automotriz,SO2,10,Kg,Toxico ,Mantenimiento,26/04/2016,06/05/2016,Reciclaje,Ricardo Díaz Virgen,Carlos Estefan Guerra,Guillermo Rodríguez Nava,1,09/07/2016 23:54,06-10-PS-I-01-2011,14-070B-PS-II-087-2013,285
9,Plaguicidas y sus envases que contengan remanentes de los mismos,RPM/09,2800,Kg,Toxico ,Mantenimiento,28/04/2014,0000-00-00,,,,,1,29/04/2014 14:55,,,
10,Aceites lubricantes usados,RPM/01,600,Kg,Toxico Inflamable ,Mantenimiento,03/04/2012,10/04/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:02,014-002-682-95,14-98B-PS-ll-18-03,8483
11,Sólidos de mantenimiento automotriz,SO2,150,Kg,Toxico ,Mantenimiento,03/04/2012,10/04/2012,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:22,014-002-682-95,14-98B-PS-ll-18-03,8484
12,Aceites lubricantes usados,RPM/01,300,Kg,Toxico Inflamable ,Mantenimiento,25/04/2012,02/05/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:03,014-002-682-95,14-98B-PS-ll-18-03,8547
13,Sólidos de mantenimiento automotriz,SO2,45,Kg,Toxico ,Mantenimiento,25/04/2012,02/05/2012,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:04,014-002-682-95,14-98B-PS-ll-18-03,8547
14,Disolventes orgánicos usados,RPM/02,15,Kg,Toxico Inflamable ,Mantenimiento,16/06/2012,23/06/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:04,014-002-682-95,14-98B-PS-ll-18-03,8706
15,Aceites lubricantes usados,RPM/01,700,Kg,Toxico Inflamable ,Mantenimiento,16/06/2012,23/06/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:05,014-002-682-95,14-98B-PS-ll-18-03,8706
16,Aceites lubricantes usados,RPM/01,400,Kg,Toxico Inflamable ,Mantenimiento,18/07/2012,25/07/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:07,014-002-682-95,14-98B-PS-ll-18-03,8761
17,Sólidos de mantenimiento automotriz,SO2,70,Kg,Toxico ,Mantenimiento,18/07/2012,25/07/2012,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:07,014-002-682-95,14-98B-PS-ll-18-03,8761
18,Aceites lubricantes usados,RPM/01,600,Kg,Toxico Inflamable ,Mantenimiento,25/08/2012,01/09/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:08,014-002-682-95,14-98B-PS-ll-18-03,8874
19,Disolventes orgánicos usados,RPM/02,10,Kg,Toxico Inflamable ,Mantenimiento,05/10/2012,12/10/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:08,014-002-682-95,14-98B-PS-ll-18-03,8991
20,Aceites lubricantes usados,RPM/01,400,Kg,Toxico Inflamable ,Mantenimiento,05/10/2012,12/10/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:08,014-002-682-95,14-98B-PS-ll-18-03,8991
21,Aceites lubricantes usados,RPM/01,200,Kg,Toxico Inflamable ,Mantenimiento,31/10/2012,07/11/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:09,014-002-682-95,14-98B-PS-ll-18-03,9587
22,Disolventes orgánicos usados,RPM/02,15,Kg,Toxico Inflamable ,Mantenimiento,05/10/2012,07/11/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:09,014-002-682-95,14-98B-PS-ll-18-03,9587
23,Aceites lubricantes usados,RPM/01,200,Kg,Toxico Inflamable ,Mantenimiento,05/10/2012,07/11/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:09,014-002-682-95,14-98B-PS-ll-18-03,5740
24,Disolventes orgánicos usados,RPM/02,15,Kg,Toxico Inflamable ,Mantenimiento,05/10/2012,07/11/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:10,014-002-682-95,14-98B-PS-ll-18-03,5740
25,Disolventes orgánicos usados,RPM/02,10,Kg,Toxico Inflamable ,Mantenimiento,28/11/2012,05/12/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:10,014-002-682-95,14-98B-PS-ll-18-03,5804
26,Aceites lubricantes usados,RPM/01,220,Kg,Toxico Inflamable ,Mantenimiento,28/11/2012,05/12/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:10,014-002-682-95,14-98B-PS-ll-18-03,5804
27,Aceites lubricantes usados,RPM/01,300,Kg,Toxico Inflamable ,Mantenimiento,30/01/2013,06/02/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:11,014-002-682-95,14-98B-PS-ll-18-03,9584
28,Disolventes orgánicos usados,RPM/02,15,Kg,Toxico Inflamable ,Mantenimiento,30/01/2013,06/02/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:12,014-002-682-95,14-98B-PS-ll-18-03,9584
29,Disolventes orgánicos usados,RPM/02,10,Kg,Toxico Inflamable ,Mantenimiento,01/03/2013,08/03/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:12,014-002-682-95,14-98B-PS-ll-18-03,9508
30,Aceites lubricantes usados,RPM/01,300,Kg,Toxico Inflamable ,Mantenimiento,01/03/2013,08/03/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:12,014-002-682-95,14-98B-PS-ll-18-03,9508
31,Disolventes orgánicos usados,RPM/02,30,Kg,Toxico Inflamable ,Mantenimiento,05/04/2013,12/04/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:13,014-002-682-95,14-98B-PS-ll-18-03,9730
32,Aceites lubricantes usados,RPM/01,500,Kg,Toxico Inflamable ,Mantenimiento,05/04/2013,12/04/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:14,014-002-682-95,14-98B-PS-ll-18-03,9730
33,Aceites lubricantes usados,RPM/01,150,Kg,Toxico Inflamable ,Mantenimiento,26/04/2013,03/05/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:14,014-002-682-95,14-98B-PS-ll-18-03,9774
34,Disolventes orgánicos usados,RPM/02,200,Kg,Toxico Inflamable ,Mantenimiento,29/05/2013,05/06/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:14,014-002-682-95,14-98B-PS-ll-18-03,9861
35,Sólidos de mantenimiento automotriz,SO2,50,Kg,Toxico ,Mantenimiento,29/05/2013,05/06/2013,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:15,014-002-682-95,14-98B-PS-ll-18-03,9861
36,Disolventes orgánicos usados,RPM/02,600,Kg,Toxico Inflamable ,Mantenimiento,11/07/2013,18/07/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:15,014-002-682-95,14-98B-PS-ll-18-03,9942
37,Sólidos de mantenimiento automotriz,SO2,40,Kg,Toxico ,Mantenimiento,11/07/2013,18/07/2013,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:16,014-002-682-95,14-98B-PS-ll-18-03,9942
38,Aceites lubricantes usados,RPM/01,50,Kg,Toxico Inflamable ,Mantenimiento,08/08/2013,15/08/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:17,014-002-682-95,14-98B-PS-ll-18-03,10038
39,Disolventes orgánicos usados,RPM/02,10,Kg,Toxico Inflamable ,Mantenimiento,08/08/2013,15/08/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:17,014-002-682-95,14-98B-PS-ll-18-03,10038
40,Disolventes orgánicos usados,RPM/02,500,Kg,Toxico Inflamable ,Mantenimiento,27/09/2013,04/10/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:19,014-002-682-95,14-98B-PS-ll-18-03,10137
41,Disolventes orgánicos usados,RPM/02,370,Kg,Toxico Inflamable ,Mantenimiento,17/10/2013,24/10/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:19,014-002-682-95,14-98B-PS-ll-18-03,10193
42,Sólidos de mantenimiento automotriz,SO2,50,Kg,Toxico ,Mantenimiento,17/10/2013,24/10/2013,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:20,014-002-682-95,14-98B-PS-ll-18-03,10193
43,Disolventes orgánicos usados,RPM/02,415,Kg,Toxico Inflamable ,Mantenimiento,13/11/2013,20/11/2013,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:20,014-002-682-95,14-98B-PS-ll-18-03,10270
44,Sólidos de mantenimiento automotriz,SO2,35,Kg,Toxico ,Mantenimiento,13/11/2013,20/11/2013,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:21,014-002-682-95,14-98B-PS-ll-18-03,10270
45,Disolventes orgánicos usados,RPM/02,200,Kg,Toxico Inflamable ,Mantenimiento,17/01/2014,24/01/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:21,014-002-682-95,14-98B-PS-ll-18-03,10419
46,Sólidos de mantenimiento automotriz,SO2,20,Kg,Toxico ,Mantenimiento,17/01/2014,24/01/2014,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:21,014-002-682-95,14-98B-PS-ll-18-03,10419
47,Disolventes orgánicos usados,RPM/02,700,Kg,Toxico Inflamable ,Mantenimiento,13/02/2014,20/02/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:13,014-002-682-95,14-98B-PS-ll-18-03,10530
48,Sólidos de mantenimiento automotriz,SO2,40,Kg,Toxico ,Mantenimiento,13/02/2014,20/02/2014,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:06,014-002-682-95,14-98B-PS-ll-18-03,10530
